fonetik,definisyM,"Explication, exemple"
pe,pe,validation pour un message reçu
pG,reglu-[],
pA,reglu-[],&&&&&&
po,validasyM,validation
pa,reglu-[],&&&&&&
pu,[]-vuma-*,"absence de l'objet, de l'idée
l’absence, intensité 0/10"
pH,reglu-[],&&&&&&
pi,reglu-[],&&&&&&
de,[]-vuma-*,"marque générique des verbes, action de faire devenir selon le sens du radical lexical, « -iser »"
dG,,
dM,dM,marqueur du sexe masculin
dN,,marqueur de l’intensité 8/10
dA,[]-vuma-*,&&&&&&
do,"¬,NvalidasyM",le « non » logique
da,reglu-[],&&&&&&
du,[]-vuma-*,&&&&&&
dH,reglu-[],&&&&&&
di,le,les
tE,?,"donc, conclusion"
te,reglu-[],&&&&&&
tM,[]-vuma-*,&&&&&&
tA,[]-vuma-*,&&&&&&
to,reglu-[],&&&&&&
tD,reglu-[],&&&&&&
ta,?,"?, quantificateur universel"
ti,ti,
ke,reglu-[],"utiliser pour des animaux, le vivant animé"
kG,reglu-[],&&&&&&
kM,reglu-[],
kA,[]-vuma-*,&&&&&&
kµ,,
ko,ko,"Non, négation, marque de l’invalidation"
kD,reglu-[],
ka,reglu-[],&&&&&&
ku,[]-vuma-*,&&&&&&
kH,[]-vuma-*,&&&&&&
ki,reglu-[],&&&&&&
gE,[]-vuma-*,&&&&&&
gL,,
ge,[]-vuma-*,"Intensité 10/10, le parfait"
gA,[]-vuma-*,&&&&&&
go,go,le positif agréable
ga,[]-vuma-*,"marque des adverbes « -ement » « de façon … »,  l’adverbe caractériser le dernier verbe de la phrase"
gu,[]-vuma-*,marqueur de l’intensité au niveau 2/10
gH,[]-vuma-*,&&&&&&
gi,[]-vuma-*,&&&&&&
lE,[]-vuma-*,&&&&&&
le,reglu-[],&&&&&&
lG,reglu-[],
lM,[]-vuma-*,&&&&&&
lN,,
lA,[]-vuma-*,&&&&&&
lµ,,
lo,[]-vuma-*,
lD,reglu-[],&&&&&&
la,[]-vuma-*,utilisé dans l’intensité au niveau 3/10
lu,Possessif singulier de ju (ja?fu),
lH,"Possessif singulier de jH (?(ja,fu,ri))",
li,Possessif singulier de ji (ja?ri),
qE,jE?jE,« je » multiple
qe,qe,marque du pluriel
qN,[]-vuma-*,&&&&&&
qA,[]-vuma-*,&&&&&&
qo,reglu-[],marqueur d’intensité ?
qa,?,"?,appartenir,être du type
exemple : je suis beau/juqasla"
qu,tu?tu,"désigne plusieurs « tu » à qui le locuteur parle, vous"
qH,reglu-[],
qi,"reglu-[]
/!\ qi ya : qya etc.",
je,reglu-[],
jG,reglu-[],
jM,li?li,"désigne plusieurs personne à qui le locuteur parle
plusieurs « il », ils, eux"
jN,,
jA,[]-vuma-*,"«-able » « truc-able » qui peut être du « truc » , exprime la possibilité"
jo,?,"?, est inclus, être
exemple : les femmes sont des humaines/lefyawajolefya"
ja,ja,"je, moi"
ju,jE?fu,"« je » et « tu » un équivalent de « nous », « on »"
jH,,
ji,jE?ri,"« je » et « il » un équivalent de « nous », « on »"
ye,reglu-[],&&&&&&
yA,reglu-[],&&&&&&
yµ,y,y
yo,reglu-[],&&&&&&
yD,reglu-[],&&&&&&
ya,?,"?, quantificateur existentiel"
yu,?,avoir
yH,reglu-[],&&&&&&
me,reglu,"marque des adjectif, le mot adjective le dernier substantif de la phrase"
mM,reglu-[],&&&&&&
mo,reglu-[],&&&&&&
ma,[]-vuma-*,&&&&&&
mu,possessif singulier de qu (fu1?fu2),votre
mH,[]-vuma-*,
mi,possessif singulier de fi (fu?ri),votre
vE,"vE
reglu","marque usuelle de l’inverse, l’opposé"
ve,ve-,marque des adjectifs ?(pas sur d’en avoir besoin)
vA,[]-vuma-*,&&&&&&
vo,vo,"marque du comparatif d’égalité
autant, aussi"
va,(,
vu,reglu-[],&&&&&&
fE,-fE,"mal, négatif désagrable"
fe,"?,()",« de » désigne l'affectation d'une application à son paramètre
fM,reglu-[],
fo,",","virgule, (séparateur (au moins pour les nombres avec partie décimale))"
fD,???,???
fa,[]-vuma-*,&&&&&&
fu,fu,« tu »
fH,fH,"le verbe faire
utilisation générique pour construire des verbes associé"
fi,fu?ri,"« tu » et « il », vous"
rE,reglu-[], & & & & & &
re,reglu-[], & & & & & &
rM,¬izomDrf a Dbje referAse,le « faux » logique
rN,reglu-[], & & & & & &
ro,[]-vuma-*,
ra,maRkLR du futuR,marqueur du futur
rH,jE?fu?li,"« je », « tu » et « il », une sorte de « nous »"
ri,il,il
sE,reglu-[],"marque de chainage « d’adjectif  générique », le mot caractérise le même mot que d’ajectif générique précédent"
sL,,
se,se,suffixe marqueur du passé (grammaire)
sG,,
sM,reglu-[],radical pour des objets
sN,,
sA,reglu-[],&&&&&&
sµ,,
so,reglu-[],"radical plutôt lié à la langue, écrit…."
sD,reglu-[],
sa,?,"car, en raison de"
su,+,"+,addition,plus"
sH,reglu-[],&&&&&&
si,reglu-[],"marque de chainage « d’adjectif  générique », le mot caractérise le mot qui lui précède directement"
ze,ze,"Ati, opozisyM"
zo,[]-vuma-*,&&&&&&
za,=,"=, égal, être
Ce chat est mon chat
zu kebyA za ba kebyA"
zu,zu,"équivalent de « ce », désigne un objet dans le contexte"
zH,·,·
zi,<,"marque du comparatif inférieur, moins, plus petit que"
we,w,w
wD,reglu-[],
wa,"wa, []-vuma-*",marque du sexe féminin
wi,reglu-[],&&&&&&
ne,reglu-[],
na,na,parent (radical parental)
nu,reglu-[],"marqueur des temps descriptif
nawa, nadM"
ni,possessif singulier de qi (ri1?ri2),leur
ce,dya,
co,[]-vuma-*,
cD,[]-vuma-*,
Be,B,B
Te,T,« the » anglais
Fµ,F,« ath » anglais
&µ,&,« r » anglais
$µ,$,« gn » de parking
€µ,€,€
